#,Name,RA,DE
530,J170017.76+293531.2,255.074,29.592
531,J170001.92+295043.4,255.008,29.8454
532,J170035.04+294333.6,255.146,29.726
533,J165927.60+295340.9,254.865,29.8947
534,J170027.12+292900.9,255.113,29.4836
535,J165530.72+301350.8,253.878,30.2308
536,J165655.92+292644.1,254.233,29.4456
537,J170254.72+295458.6,255.728,29.9163
538,J165622.08+291952.6,254.092,29.3313
539,J165647.76+300805.2,254.199,30.1348
540,J165643.20+294457.4,254.18,29.7493
541,J170244.40+300046.8,255.685,30.013
542,J165640.32+292034.4,254.168,29.3429
543,J165742.96+294833.4,254.429,29.8093
544,J170156.64+294609.4,255.486,29.7693
545,J170225.92+293756.6,255.608,29.6324
546,J170146.32+292218.1,255.443,29.3717
547,J170510.08+311026.4,256.292,31.174
548,J170107.92+292425.2,255.283,29.407
549,J170047.28+294914.1,255.197,29.8206
550,J170726.88+311454.6,256.862,31.2485
551,J165255.92+303016.2,253.233,30.5045
552,J170456.40+291931.4,256.235,29.3254
553,J165256.88+302957.1,253.237,30.4992
554,J170146.32+292209.1,255.443,29.3692
555,J165809.84+303356.5,254.541,30.5657
556,J165807.68+295426.2,254.532,29.9073
557,J170248.00+295107.9,255.7,29.8522
558,J165920.40+295647.0,254.835,29.9464
559,J165253.28+291235.2,253.222,29.2098
560,J170836.24+303326.2,257.151,30.5573
561,J172355.68+305309.2,260.982,30.8859
562,J171044.88+300509.6,257.687,30.086
563,J171055.20+295605.6,257.73,29.9349
564,J171102.40+293710.9,257.76,29.6197
565,J170932.16+292346.6,257.384,29.3963
566,J171518.96+312713.6,258.829,31.4538
567,J171530.48+312352.8,258.877,31.398
568,J171601.92+311214.0,259.008,31.2039
569,J172413.20+305214.5,261.055,30.8707
570,J171748.00+291228.8,259.45,29.208
571,J171224.96+305411.5,258.104,30.9032
572,J172218.96+305700.7,260.579,30.9502
573,J172427.60+304248.2,261.115,30.7134
574,J171853.52+301135.8,259.723,30.1933
575,J171854.24+301125.8,259.726,30.1905
576,J171849.20+301013.4,259.705,30.1704
577,J171824.00+294220.8,259.6,29.7058
578,J170910.56+302747.1,257.294,30.4631
579,J171057.12+295827.4,257.738,29.9743
580,J170948.72+291357.0,257.453,29.2325
581,J170945.84+291939.7,257.441,29.3277
582,J171513.92+312322.2,258.808,31.3895
583,J172118.24+301400.6,260.326,30.2335
584,J171249.92+291413.5,258.208,29.2371
585,J171224.96+291609.8,258.104,29.2694
586,J171806.96+295941.6,259.529,29.9949
587,J171041.28+311645.8,257.672,31.2794
